Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%),NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
3/31/2014,Econom,20,3,1,1,2,4,2,1,2,3,1,,1.5,0.666666667,631384,41221755,-874594,42096349,138.52,138.52,0,79503319,68527861,10975458,2333338,41221755,46167933,46167933,0,57957,0,2,1813046,964655,848391,398823,81038,317785,0,-162449,1208161,85480,1063945,7711,51025,-6932,57957,,,,0.880631803,1.13554836,359770.00,8154041.00
3/31/2014,Evoca,8,1,,,,1,,,1,,,,0.02,50,7357,30915965,-311321,31227286,4231.63,4231.63,0,62487130,40183337,22303793,14400000,30915965,27187407,30304738,3117331,386103,2,7,1281395,673981,607414,81784,101319,-19535,0,-29633,755465,-23619,308427,0,470657,84554,386103,,,,0.408261137,2.449412666,148051.00,8131769.00
3/31/2014,HSBC,10,,,,,,,,,,,,4,0.25,6422900,160030253,-710844,160741097,11.07,11.07,0,251952812,208958391,42994421,18434350,160030253,163262137,163262137,0,1893974,3,18,4701768,1221807,3479961,585889,109654,476235,0,-227715,4032548,-44130,1655457,0,2421221,527247,1893974,,,,0.410523818,2.435912257,552587.00,32891268.00
3/31/2014,INECO,8,2,,,1,3,1,1,1,,,,2.04,0.490196078,1754425,84457834,-1712997,86170831,97.64,97.64,0,130059209,105552570,24506639,6926450,84457834,35811241,35811241,0,1116066,3,19,3843734,1646255,2197479,254508,64938,189570,0,-14337,2483936,218501,858240,0,1407195,291129,1116066,,,,0.345516149,2.894220727,286457.00,10924146.00
3/31/2014,Mellat,1,,,,,,,,,,,,10.41,0.096061479,506282,4862497,-246618,5109115,46.36,48.71,0,19958991,8930467,11028524,6850000,4862497,2300243,2300243,0,47817,1,2,305218,21576,283642,6362,284,6078,0,-11613,291256,97821,131456,0,61979,14162,47817,,,,0.451341775,2.215615871,7614.00,5517606.00
3/31/2014,ProCredit,11,1,,,1,,1,,1,,,,3.21,0.31152648,1466023,44904335,-826298,45730633,56.36,56.36,0,55575280,46870049,8705231,9990000,44904335,25975253,25975253,0,39993,0,2,1617834,635019,982815,89630,45766,43864,0,-32287,1057014,137290,870773,0,48951,8958,39993,,,,0.823804604,1.213880082,74199.00,10665.00
3/31/2014,Uni,24,4,1,2,1,3,2,1,2,3,1,2,5.57,0.179533214,6100103,106534308,-3073675,109607983,50.39,50.39,0,153899219,132137581,21761638,13100700,113570937,119190755,119190755,0,580338,2,11,4965597,2850748,2114849,440313,78044,362269,0,-307283,2431004,828354,871609,0,731041,150703,580338,,,,0.358538694,2.789099243,316155.00,5186662.00
3/31/2014,VTB,23,5,4,5,3,5,3,4,7,5,3,,11.75,0.085106383,28345337,231885021,-9309395,241194416,32.84,32.84,0,307649564,262523455,45126109,20775690,229944909,163293779,163293779,0,537067,1,5,9003876,4355629,4648247,680482,195290,485192,418,-869692,4563314,1611870,2271814,0,679629,142562,537067,,,,0.497843015,2.008665322,-84933.00,18647093.00
6/30/2014,ABB,16,1,1,1,2,2,1,3,3,3,,7,5.01,0.199600798,7583567,146417818,-4901605,151319423,64.63,64.63,0,220822272,194108371,26713901,22907500,146417818,117545824,117545824,0,2050956,2,16,9556718,7052932,2503786,851406,201817,649589,0,-224591,3276701,-1155011,1854000,0,2577712,526756,2050956,,,,0.030101692,33.22072394,772915.00,8554691.00
6/30/2014,ACBA,13,5,4,3,4,4,2,5,5,4,2,,7.61,0.131406045,13924587,177965561,-5026761,182992322,36.1,36.1,0,273099444,219221066,53878378,30000000,181580045,115004398,115004398,0,-260256,0,-1,14128376,6707678,7420698,1441001,598345,842656,1525,-18,8779592,4415094,4585036,0,-220538,39718,-260256,,,,0.07288602,13.72005221,1358894.00,7111885.00
6/30/2014,ADB,4,1,,,,,1,,1,,,1,12.01,0.083263947,5348727,43025979,-1519309,44545288,28.41,28.41,0,68272389,58630682,9641707,4525992,43025979,51570970,51570970,0,524937,2,11,3796700,2351972,1444728,195756,46438,149318,0,91921,1938224,478498,911459,0,548267,23330,524937,,,,0.054175332,18.45858554,493496.00,1523006.00
6/30/2014,Ameria,7,1,1,1,,,,,,,,1,3.85,0.25974026,7187598,185037010,-1726173,186763183,24.02,24.02,0,342766474,302549709,40216765,25447680,192231716,220571786,220571786,0,2881940,2,15,12418454,6249616,6168838,1044228,220721,823507,0,346000,8392192,682592,4002051,0,3707549,825609,2881940,,,,0.059214944,16.88762891,2223354.00,13525859.00
