,level_0,Banks name,level_1,LoanPortfolio(net),TotalAssets,TotalLiabilities,TotalCapital,Liabilitiestocustomers(incl.securities),Bonds Attracted,Netinterestincome,Net non-interest,Profit/(loss)aftertax,NPL (%)_r,"ROA
(Annualized)","ROE
(Annualized)",Cost of credit risk_r,Index,Month,Year,Y-M
35,2020-12-31,ASHB,35,0.8414506093439266,0.8285372945822613,0.840161941759002,0.7154762671547779,0.7295402897705524,0.5148085877197346,0.8644235083386251,0.802440349460208,0.9999999999999999,0.36623667975322494,0.3333333333333333,1.0,0.27746184252120687,0.03343514453313933,12,2020,2020_12
36,2020-12-31,Byblos,36,0.029386856233351633,0.025144088432961717,0.03877102901023474,0.0,0.07631801030252562,0.051308370910743153,0.0,0.07840392980145172,0.13265934017144398,0.08300616937745373,0.3333333333333333,0.41666666666666663,0.12325961105755157,0.019965670024851046,12,2020,2020_12
37,2020-12-31,Converse,37,0.3104117783807968,0.25149523223724296,0.2617667162488445,0.23444297091903493,0.348339309758959,0.11257867778063403,0.35058023286935,0.32860910819779404,0.26670881229888704,0.3073471676948963,0.3333333333333333,0.5,0.06196639661942299,-0.01820470096637258,12,2020,2020_12
38,2020-12-31,Econom,38,0.25685989073987053,0.23999908480812276,0.25654823348619604,0.15063602861700104,0.16154271055327554,0.13507347109872042,0.31247294994109354,0.143380649517205,0.4666350987358392,0.0,0.6666666666666666,0.9166666666666666,0.10941131878184185,0.11178528136556194,12,2020,2020_12
39,2020-12-31,Evoca,39,0.13630988226638177,0.12217542491079642,0.13831164405408417,0.05402453778333155,0.16946079637346603,0.017904324651245293,0.15285492699638192,0.09592487103005101,0.06679134611887387,0.14806505888951207,0.0,0.16666666666666666,0.07033654272533618,-0.07523363912440179,12,2020,2020_12
40,2020-12-31,HSBC,40,0.18361601343642475,0.1592186906660141,0.16755768910906782,0.17772287719591845,0.23605438803722695,0.0727437152707845,0.22516780568558215,0.23407673731545145,0.2169411566964233,0.6461020751542346,0.3333333333333333,0.41666666666666663,0.0,-0.035357728758111766,12,2020,2020_12
41,2020-12-31,IDbank,41,0.11091550193126318,0.09800279311191373,0.10133240542868749,0.1839769959606255,0.1065812584293078,0.06151449465431506,0.1706440314852921,0.1505608125960457,0.10737513216758607,0.8255748738081885,0.3333333333333333,0.25,0.0007514540458599672,-0.05499174345293343,12,2020,2020_12
42,2020-12-31,Ineco,42,0.29101441974173364,0.3061171101320111,0.3101411628177121,0.355035001822872,0.3225517032742352,0.26390611034612466,0.5472314410014694,0.27054702104902595,0.49411128924506437,0.2546270330902973,0.3333333333333333,0.75,0.2371655637497435,0.044939800419661426,12,2020,2020_12
43,2020-12-31,Mellat,43,0.0,0.0,0.0,0.13877349991230142,0.0,0.07999363726221716,0.035692965394461706,0.037445002509633,0.20440558950583668,0.1250701065619742,1.0,0.41666666666666663,0.4127401234729946,0.12981197750133805,12,2020,2020_12
44,2020-12-31,Uni,44,0.20256404078589815,0.15845118995079835,0.17718742386074318,0.05465654155390498,0.22954306275352718,0.0,0.2272408298246657,0.08593188898017676,0.014922388180697134,1.0,0.0,0.08333333333333333,0.10524464652480026,-0.13720777264799036,12,2020,2020_12
45,2020-12-31,VTB,45,0.2721707212485956,0.25279566935783615,0.261767295661386,0.25086600291721867,0.3648061836686444,0.009082641217329879,0.6323435659561418,0.01130227678943161,0.19019357887276916,0.5967470555243971,0.3333333333333333,0.3333333333333333,0.14492870020772552,-0.05288649572240027,12,2020,2020_12
46,2021-03-31,ABB,46,0.8998384499444883,0.8796430329644569,0.9372060912031185,0.30676439265128247,0.9813473997866188,0.37644481953037584,0.4254794809679193,1.0,0.33064500706623906,0.1389177939646202,0.3333333333333333,0.5,0.567269140724243,-0.057529148328890216,3,2021,2021_3
47,2021-03-31,ACBA,47,0.453502450095227,0.44562474671063573,0.4480948274707308,0.4953402147997517,0.44849624288672113,0.07313830815311569,0.5400372552820354,0.21452590311529945,0.20950801191029417,0.1644120707596254,0.3333333333333333,0.30000000000000004,0.08113622812525217,-0.055393848688994815,3,2021,2021_3
48,2021-03-31,Ameria,48,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,0.23906755593051743,1.0,0.7377032859669301,1.0,0.172216441207076,0.6666666666666666,0.8,0.25534803464197636,0.01764679095002141,3,2021,2021_3
49,2021-03-31,Ararat,49,0.19311524129087193,0.20239382469648143,0.22072903845936762,0.12263358308345745,0.19105107632146376,0.14554605628939116,0.15554900373532843,0.37381491237833764,0.48139853205815925,0.131633714880333,1.0,1.0,0.17236367639478123,0.1598599753638475,3,2021,2021_3
50,2021-03-31,Armswiss,50,0.1520504581293463,0.31796866108927396,0.3192768778800602,0.396845405768763,0.3025719507961729,1.0,0.19765467301872286,0.27774180981708896,0.4144593036264436,0.3454734651404787,0.6666666666666666,0.6,0.9999999999999998,0.16925803821468122,3,2021,2021_3
51,2021-03-31,Artsakh,51,0.09352392471910514,0.11777295773285745,0.12306236567197026,0.18298484389322117,0.14746970448931293,0.31318682074541915,0.1848193752225037,0.0,0.4348631884324041,0.015088449531737776,1.0,0.8,0.45010894452796263,0.1904870326427809,3,2021,2021_3
52,2021-03-31,ASHB,52,0.8517396181719624,0.9414695414176308,0.9614134166913214,0.7452610971267999,0.9026017461231597,0.3300570021792026,0.7600016670691635,0.9381250077295045,0.6976182758376697,0.3511966701352758,0.3333333333333333,0.7000000000000001,0.39247559636638457,-0.03528003313077243,3,2021,2021_3
53,2021-03-31,Byblos,53,0.02840849155731167,0.0245138829738661,0.03980246318208133,0.0,0.08911218716785825,0.051745910620037625,0.0,0.08871245006740128,0.11793830284045599,0.07336108220603539,0.3333333333333333,0.30000000000000004,0.08084967785278807,0.0033938424761997582,3,2021,2021_3
54,2021-03-31,Converse,54,0.31333860507804256,0.29873569866850214,0.31461164517893536,0.23111287940991027,0.4179200427023868,0.13449415133956572,0.3037752823778926,0.41651733264076973,0.29714945621513494,0.35691987513007284,0.3333333333333333,0.5,0.05191807841980994,-0.025098645960752727,3,2021,2021_3
55,2021-03-31,Econom,55,0.2697994775752458,0.2704567460308033,0.2914986972662491,0.15378524008967992,0.19256679797264972,0.13854847846207374,0.2361585032029701,0.12609542537008867,0.0,0.0,0.0,0.0,0.06625111452255789,-0.09830520866606189,3,2021,2021_3
56,2021-03-31,Evoca,56,0.13789494165051772,0.13706003448204676,0.15670780205004498,0.052704210764292325,0.20452163123745087,0.02501687716636665,0.09301688866918055,0.1827168280587195,0.13283238574971937,0.17845993756503642,0.3333333333333333,0.30000000000000004,0.0774453824834816,-0.02162095774459585,3,2021,2021_3
57,2021-03-31,HSBC,57,0.1863717823198539,0.17587787453061143,0.18615427378903104,0.1821871221204398,0.2776452560590858,0.06439099956678694,0.21125913341907326,0.36889832919031895,0.3634485158985598,0.5900104058272633,0.6666666666666666,0.7000000000000001,0.037982461213088625,0.042567124080369514,3,2021,2021_3
58,2021-03-31,IDbank,58,0.12584905278926742,0.11094002001502196,0.11593125905472007,0.18012805151039485,0.1562364328643666,0.06891592131231496,0.15220712839186934,0.13267539791488886,0.16375220162590431,0.4864724245577523,0.3333333333333333,0.30000000000000004,0.0,-0.031465039183787555,3,2021,2021_3
59,2021-03-31,Ineco,59,0.28894279694352537,0.32362445912152493,0.32859836274845544,0.36421759160543693,0.3744039872468026,0.3454326567165249,0.44826551047442453,0.1408862958977974,0.5646154493420461,0.2601456815816857,0.6666666666666666,0.8,0.5376925486969115,0.12053845793221299,3,2021,2021_3
