Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
12/31/2020,Armswiss,1,0,0,0,0,0,0,0,0,0,0,0,5.22,6767357,123498224,-6236256,129734480,92.15,92.15,5.15,386139335,323207050,62932285,10000200,123498224,134700221,199612126,64911905,6026075,2,9,27321456,17038412,10283044,335405,156108,179297,0,-167114,15106699,5737484,1916022,0,7453193,1427118,6026075,261891770,121823628,2423937,0.126832606,7.884407894,4823655,221380000
12/31/2020,Artsakh,8,0,0,0,0,0,0,0,0,0,0,16,0.84,1046595,118074907,-6370443,124445350,608.68,608.68,4.33,190068154,147214192,42853962,23261150,118074936,103247685,103247685,0,1802690,1,4,18137363,7826554,10310809,426526,193996,232530,0,-908266,10100028,4868733,2918925,0,2312370,509680,1802690,,,,0.289001674,3.46018757,-210781,47100400
12/31/2020,ASHB,19,6,4,5,5,6,3,3,4,4,2,0,7.22,44062256,589146394,-21549451,610695845,48.91,48.91,3.25,917050276,830160460,86889816,52227200,589146394,339772972,516466239,176693267,10178412,1,12,69122325,38515801,30606524,6576293,1862155,4714138,0,2115779,43203093,18338368,12956854,0,11907871,1729459,10178412,444951738,467955549,4142989,0.299905704,3.334381396,12596569,121998211
12/31/2020,Byblos,3,0,0,0,0,1,0,0,0,0,0,0,2.17,872365,39321912,-812080,40133992,93.09,93.09,0.88,103115844,73599637,29516207,26249100,39321912,58995826,58995826,0,1426590,1,5,6409130,3688592,2720538,139815,101850,37965,0,-135127,3761123,328791,1591453,0,1840879,414289,1426590,53266204,49837347,12293,0.4231324,2.363326467,1040585,27059431
12/31/2020,Converse,16,1,2,1,1,6,3,1,3,1,0,1,6.17,14720216,229595621,-8850544,238446165,60.13,60.13,2.62,332436914,284120867,48316047,19947633,229595621,227973075,249500192,21527117,2779204,1,6,25603960,11573832,14030128,3102283,1332674,1769609,0,1185359,19064113,6112748,9641264,0,3310101,530897,2779204,130552714.4,199162314.6,2721884.97,0.505728433,1.977345814,5033985,39609432
12/31/2020,Econom,32,3,1,2,2,5,2,1,2,2,1,1,0.69,1353289,193337213,-3377495,196714708,249.58,249.58,1.21,320789927,279194308,41595619,25955663,193337215,112495410,118681143,6185733,4796542,2,11,25846673,13045872,12800801,2565617,831404,1734213,0,-3505839,14878447,2277136,6536759,0,6064552,1268010,4796542,209469686,109861352,1458889,0.439344173,2.276119866,2077646,44217042
12/31/2020,Evoca,11,1,0,0,0,1,0,0,1,0,0,0,3.33,3852562,111716348,-4090384,115806732,106.17,106.17,3.09,201420317,167571915,33848402,20000000,111716348,124226407,124226407,0,761955,0,2,15052441,7400859,7651582,1198488,782157,416331,0,-189230,8971810,3515440,4419491,0,1036879,274924,761955,106535043,93193182,1692092,0.492597495,2.030054984,1320228,20217278
12/31/2020,HSBC,8,0,0,0,0,0,0,0,0,0,0,0,12.21,18391647,143745938,-6918282,150664220,37.62,37.62,1.27,238949623,195181926,43767697,18434350,143745937,170863821,170863821,0,2277028,1,5,12771767,2787398,9984369,2479004,636959,1842045,0,28252,13509570,1750402,8511971,0,3247197,970169,2277028,112943506,123543409,2462708,0.630069721,1.587125943,3525201,31450034
12/31/2020,IDbank,11,1,0,0,0,1,1,0,1,0,0,0,15.41,16432342,94522560,-12108714,106631274,73.69,73.69,2.28,176930519,132661308,44269211,33971850,94522560,66773517,80190052,13416535,1171462,1,3,13491380,5265928,8225452,1577052,1681729,-104677,0,406284,10417697,2176258,6544363,0,1697076,525614,1171462,109719204,63361773,3849542,0.628196712,1.591858061,2192245,29149952
12/31/2020,Ineco,18,2,0,0,1,2,1,1,1,0,0,0,5.23,11885387,216462240,-10885475,227347715,91.59,91.59,4.34,387775479,329789230,57986249,14545680,216462240,220478528,231440387,10961859,5073788,1,9,35097562,14723538,20374024,3021995,1653333,1368662,0,476410,24481309,10245815,7946866,0,6288628,1214840,5073788,230723545,156073874,978060,0.324609521,3.080624367,4107285,70605840
