,Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
30,2020-12-31,ACBA,18.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,2.0,0.0,4.98,16976036.0,328035951.0,-13082663.0,341118614.0,77.07,77.07,3.29,495631691.0,425122589.0,70509102.0,30000000.0,328035951.0,296944080.0,305445040.0,8500960.0,2724631.0,1.0,4.0,46090166.0,20185734.0,25904432.0,4916294.0,1868608.0,3047686.0,399958.0,-403064.0,31168203.0,10724728.0,16669558.0,0.0,3773917.0,1049286.0,2724631.0,304010481.0,189820620.0,1800590.0,0.534825765,1.869767811,5263771.0,18708862.0
31,2020-12-31,Ameria,12.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.22,30376170.0,696495523.0,-23591602.0,720087125.0,77.66,77.66,2.79,1090762723.0,981057121.0,109705602.0,37386880.0,696495523.0,598960666.0,705876979.0,106916313.0,9000204.0,1.0,9.0,66544861.0,31564689.0,34980172.0,5250022.0,1471612.0,3778410.0,0.0,601698.0,44777408.0,17882951.0,15712328.0,0.0,11182129.0,2181925.0,9000204.0,380162200.6,702739888.0,7860634.0,0.350898561,2.8498264489999996,9797236.0,62745294.0
32,2020-12-31,Ararat,27.0,4.0,4.0,3.0,2.0,5.0,2.0,1.0,6.0,2.0,0.0,1.0,4.65,7130697.0,148106248.0,-5348938.0,153455186.0,75.01,75.01,1.56,248881437.0,210654873.0,38226564.0,8803655.0,148222057.0,97936482.0,113101724.0,15165242.0,1340694.0,1.0,3.0,17554101.0,9162703.0,8391398.0,1786012.0,795693.0,990319.0,0.0,-1155793.0,9494924.0,2264031.0,5614224.0,0.0,1616669.0,275975.0,1340694.0,120215910.0,127823581.0,841946.0,0.591286881,1.691226429,1103526.0,41566880.0
33,2020-12-31,Armswiss,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,6767357.0,123498224.0,-6236256.0,129734480.0,92.15,92.15,5.15,386139335.0,323207050.0,62932285.0,10000200.0,123498224.0,134700221.0,199612126.0,64911905.0,6026075.0,2.0,9.0,27321456.0,17038412.0,10283044.0,335405.0,156108.0,179297.0,0.0,-167114.0,15106699.0,5737484.0,1916022.0,0.0,7453193.0,1427118.0,6026075.0,261891770.0,121823628.0,2423937.0,0.126832606,7.884407894,4823655.0,221380000.0
34,2020-12-31,Artsakh,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.84,1046595.0,118074907.0,-6370443.0,124445350.0,608.68,608.68,4.33,190068154.0,147214192.0,42853962.0,23261150.0,118074936.0,103247685.0,103247685.0,0.0,1802690.0,1.0,4.0,18137363.0,7826554.0,10310809.0,426526.0,193996.0,232530.0,0.0,-908266.0,10100028.0,4868733.0,2918925.0,0.0,2312370.0,509680.0,1802690.0,,,,0.289001674,3.46018757,-210781.0,47100400.0
35,2020-12-31,ASHB,19.0,6.0,4.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,0.0,7.22,44062256.0,589146394.0,-21549451.0,610695845.0,48.91,48.91,3.25,917050276.0,830160460.0,86889816.0,52227200.0,589146394.0,339772972.0,516466239.0,176693267.0,10178412.0,1.0,12.0,69122325.0,38515801.0,30606524.0,6576293.0,1862155.0,4714138.0,0.0,2115779.0,43203093.0,18338368.0,12956854.0,0.0,11907871.0,1729459.0,10178412.0,444951738.0,467955549.0,4142989.0,0.299905704,3.3343813960000004,12596569.0,121998211.0
36,2020-12-31,Byblos,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,872365.0,39321912.0,-812080.0,40133992.0,93.09,93.09,0.88,103115844.0,73599637.0,29516207.0,26249100.0,39321912.0,58995826.0,58995826.0,0.0,1426590.0,1.0,5.0,6409130.0,3688592.0,2720538.0,139815.0,101850.0,37965.0,0.0,-135127.0,3761123.0,328791.0,1591453.0,0.0,1840879.0,414289.0,1426590.0,53266204.0,49837347.0,12293.0,0.4231324000000001,2.363326467,1040585.0,27059431.0
37,2020-12-31,Converse,16.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,0.0,1.0,6.17,14720216.0,229595621.0,-8850544.0,238446165.0,60.13,60.13,2.62,332436914.0,284120867.0,48316047.0,19947633.0,229595621.0,227973075.0,249500192.0,21527117.0,2779204.0,1.0,6.0,25603960.0,11573832.0,14030128.0,3102283.0,1332674.0,1769609.0,0.0,1185359.0,19064113.0,6112748.0,9641264.0,0.0,3310101.0,530897.0,2779204.0,130552714.4,199162314.6,2721884.97,0.5057284329999999,1.977345814,5033985.0,39609432.0
38,2020-12-31,Econom,32.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,0.69,1353289.0,193337213.0,-3377495.0,196714708.0,249.58,249.58,1.21,320789927.0,279194308.0,41595619.0,25955663.0,193337215.0,112495410.0,118681143.0,6185733.0,4796542.0,2.0,11.0,25846673.0,13045872.0,12800801.0,2565617.0,831404.0,1734213.0,0.0,-3505839.0,14878447.0,2277136.0,6536759.0,0.0,6064552.0,1268010.0,4796542.0,209469686.0,109861352.0,1458889.0,0.43934417299999995,2.276119866,2077646.0,44217042.0
39,2020-12-31,Evoca,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.33,3852562.0,111716348.0,-4090384.0,115806732.0,106.17,106.17,3.09,201420317.0,167571915.0,33848402.0,20000000.0,111716348.0,124226407.0,124226407.0,0.0,761955.0,0.0,2.0,15052441.0,7400859.0,7651582.0,1198488.0,782157.0,416331.0,0.0,-189230.0,8971810.0,3515440.0,4419491.0,0.0,1036879.0,274924.0,761955.0,106535043.0,93193182.0,1692092.0,0.492597495,2.030054984,1320228.0,20217278.0
